Model	LOGO	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
MXI1_HUMAN.H11MO.0.A		HUMAN:MXI1	15	A	bHLH-ZIP factors{1.2.6}	4601	MXI1_HUMAN
MXI1_HUMAN.H11MO.1.A		HUMAN:MXI1	11	A	bHLH-ZIP factors{1.2.6}	4601	MXI1_HUMAN
MYCN_HUMAN.H11MO.0.A		HUMAN:MYCN	12	A	bHLH-ZIP factors{1.2.6}	4613	MYCN_HUMAN
MYC_HUMAN.H11MO.0.A		HUMAN:MYC	11	A	bHLH-ZIP factors{1.2.6}	4609	MYC_HUMAN
MYF6_HUMAN.H11MO.0.C		HUMAN:MYF6	7	C	MyoD / ASC-related factors{1.2.2}	4618	MYF6_HUMAN
MYOD1_HUMAN.H11MO.0.A		HUMAN:MYOD1	15	A	MyoD / ASC-related factors{1.2.2}	4654	MYOD1_HUMAN
MYOD1_HUMAN.H11MO.1.A		HUMAN:MYOD1	11	A	MyoD / ASC-related factors{1.2.2}	4654	MYOD1_HUMAN
MYOG_HUMAN.H11MO.0.B		HUMAN:MYOG	13	B	MyoD / ASC-related factors{1.2.2}	4656	MYOG_HUMAN
NDF1_HUMAN.H11MO.0.A		HUMAN:NEUROD1	10	A	Tal-related factors{1.2.3}	4760	NDF1_HUMAN
NDF2_HUMAN.H11MO.0.B		HUMAN:NEUROD2	9	B	Tal-related factors{1.2.3}	4761	NDF2_HUMAN
NGN2_HUMAN.H11MO.0.D		HUMAN:NEUROG2	12	D	Tal-related factors{1.2.3}	63973	NGN2_HUMAN
OLIG1_HUMAN.H11MO.0.D		HUMAN:OLIG1	14	D	Tal-related factors{1.2.3}	116448	OLIG1_HUMAN
OLIG2_HUMAN.H11MO.0.B		HUMAN:OLIG2	18	B	Tal-related factors{1.2.3}	10215	OLIG2_HUMAN
OLIG2_HUMAN.H11MO.1.B		HUMAN:OLIG2	10	B	Tal-related factors{1.2.3}	10215	OLIG2_HUMAN
OLIG3_HUMAN.H11MO.0.D		HUMAN:OLIG3	11	D	Tal-related factors{1.2.3}	167826	OLIG3_HUMAN
PTF1A_HUMAN.H11MO.0.B		HUMAN:PTF1A	18	B	Tal-related factors{1.2.3}	256297	PTF1A_HUMAN
PTF1A_HUMAN.H11MO.1.B		HUMAN:PTF1A	9	B	Tal-related factors{1.2.3}	256297	PTF1A_HUMAN
SRBP1_HUMAN.H11MO.0.A		HUMAN:SREBF1	11	A	bHLH-ZIP factors{1.2.6}	6720	SRBP1_HUMAN
SRBP2_HUMAN.H11MO.0.B		HUMAN:SREBF2	13	B	bHLH-ZIP factors{1.2.6}	6721	SRBP2_HUMAN
TAL1_HUMAN.H11MO.0.A		HUMAN:TAL1	19	A	Tal-related factors{1.2.3}	6886	TAL1_HUMAN
TAL1_HUMAN.H11MO.1.A		HUMAN:TAL1	15	A	Tal-related factors{1.2.3}	6886	TAL1_HUMAN
TFAP4_HUMAN.H11MO.0.A		HUMAN:TFAP4	10	A	bHLH-ZIP factors{1.2.6}	7023	TFAP4_HUMAN
TFE2_HUMAN.H11MO.0.A		HUMAN:TCF3	11	A	E2A-related factors{1.2.1}	6929	TFE2_HUMAN
TFE3_HUMAN.H11MO.0.B		HUMAN:TFE3	10	B	bHLH-ZIP factors{1.2.6}	7030	TFE3_HUMAN
TFEB_HUMAN.H11MO.0.C		HUMAN:TFEB	9	C	bHLH-ZIP factors{1.2.6}	7942	TFEB_HUMAN
TWST1_HUMAN.H11MO.0.A		HUMAN:TWIST1	17	A	Tal-related factors{1.2.3}	7291	TWST1_HUMAN
TWST1_HUMAN.H11MO.1.A		HUMAN:TWIST1	10	A	Tal-related factors{1.2.3}	7291	TWST1_HUMAN
USF1_HUMAN.H11MO.0.A		HUMAN:USF1	12	A	bHLH-ZIP factors{1.2.6}	7391	USF1_HUMAN
USF2_HUMAN.H11MO.0.A		HUMAN:USF2	19	A	bHLH-ZIP factors{1.2.6}	7392	USF2_HUMAN
